Date,R,lb_95,ub_95,lb_50,ub_50
2020-11-15,1.0525534920094053,0.9166484695733581,1.1868802737087059,1.005818609735482,1.099676617064227
2020-11-16,1.040697201915798,0.9062056638579864,1.1757100957318674,0.9937099017756844,1.087062356859986
2020-11-17,1.0378844055725742,0.902601722279721,1.1729773782635202,0.9912156210360531,1.0836781253307888
2020-11-18,1.0350305846159558,0.8964745438617773,1.1700251267413568,0.9883060782370777,1.0821632927225258
2020-11-19,1.03165008783033,0.8947023234747247,1.1680393436134069,0.984672252793653,1.0790179741263368
2020-11-20,1.033315958478587,0.8967542981081096,1.1702456269738735,0.9868925974618145,1.0800251538882015
2020-11-21,1.0238690450437953,0.8866864315267782,1.1610886189302294,0.9770862170077758,1.0714011636980487
2020-11-22,1.01477426538335,0.8777744507107383,1.1522795259669723,0.9680013178178517,1.0616965633565698
2020-11-23,1.0029885724434378,0.8648432474061978,1.1384034318048375,0.9567782560907075,1.0484760270981828
2020-11-24,0.9799928184116706,0.8444699306685988,1.1131412515681334,0.9334768339389721,1.0261390433144544
2020-11-25,0.9683683176011688,0.8328413433738097,1.104832626462423,0.9213588788870042,1.0151091374643735
2020-11-26,0.9769837679021107,0.8415529603552003,1.1138471337035538,0.930536800792171,1.0227634150753029
2020-11-27,0.9876848054112013,0.8505692671220877,1.1232004078702753,0.941075681564718,1.0345057782920863
2020-11-28,1.0015161119413771,0.864647921432784,1.1364494598041333,0.9545722444822698,1.0492053797047223
2020-11-29,0.9999802011800105,0.8644852202310769,1.1380754743875021,0.9525150776767902,1.0468031506936049
2020-11-30,0.9918144215181959,0.8546868642908946,1.1289725172747551,0.9450317096428493,1.0378736960874446
2020-12-01,1.001560334655506,0.8656268121920496,1.1358884085746277,0.9547547079941137,1.0487345887769002
2020-12-02,1.027920393617506,0.8937171669139529,1.1618146455876737,0.9818438225887147,1.0738206695415
2020-12-03,1.0584186073508752,0.925148013184705,1.1958084544184167,1.011978010559061,1.1053948105005225
2020-12-04,1.0759464230343962,0.9391443006631944,1.2105799051193835,1.0290826105567188,1.122036887386526
2020-12-05,1.0821477969833433,0.9438732014907795,1.2150342465621136,1.0354013849583499,1.12782684600305
2020-12-06,1.0909573197283855,0.95607471717633,1.2248765819727576,1.0439259060414097,1.1371463062078973
2020-12-07,1.10222279576486,0.96812927656776,1.239560856008554,1.0558118251132316,1.149028263462405
2020-12-08,1.1172449414618586,0.9825616190756182,1.2522788193181362,1.0705965398845685,1.1641204441906214
2020-12-09,1.1440615858480485,1.005934093816218,1.2817264894580296,1.0960336182160377,1.1909204277216106
2020-12-10,1.1752509211704876,1.0371306988959783,1.3106241839871484,1.1279481766471142,1.221817984162015
2020-12-11,1.186930404426825,1.0511507284087607,1.3240792539243273,1.1404977252619604,1.2331702396504067
2020-12-12,1.1711319070985233,1.035534628058824,1.305318964318535,1.1265467497635342,1.2166611918820887
2020-12-13,1.1417687556963636,1.0079164907598326,1.277418686216436,1.0956739915549714,1.1876711812620573
2020-12-14,1.1211317726005285,0.9867741149384244,1.257272829050519,1.0751906105613434,1.168109855118347
2020-12-15,1.1095146558794942,0.973580386175809,1.2449959746903148,1.0632028832897202,1.1565843791909185
2020-12-16,1.1152021280362898,0.9802080565128164,1.2529079000569134,1.0693480786936764,1.1622482018321338
2020-12-17,1.145432623770576,1.0084647325708818,1.2801910997574473,1.0981976117735355,1.1917778963332795
2020-12-18,1.1514109785932476,1.0159133457938085,1.2891747508130114,1.1047043620477701,1.1995999835805373
2020-12-19,1.1211111144227273,0.9844482958328656,1.254591487445761,1.0743758158890568,1.1675125025502173
2020-12-20,1.078519383044346,0.9441720144070501,1.2136053238773143,1.0319935296060525,1.1259177701423688
2020-12-21,1.0305628514674599,0.8951768304078327,1.167005882735188,0.9843994082064174,1.0772409140298749
2020-12-22,0.9677551497910666,0.8342088671565958,1.1043089627548899,0.9212285359306671,1.014030717193596
2020-12-23,0.900955231623978,0.7653158437250043,1.0377853077201427,0.8540881590804696,0.9469962726969132
2020-12-24,0.8142074440656586,0.6747036212774586,0.952424387016941,0.7666184994575371,0.8615000812820619
