"date","R_calc","lower","upper"
2021-02-01,0.863208987037301,0.854982396978562,0.871443660524972
2021-02-02,0.854982396978562,0.846764070133907,0.863208987037301
2021-02-03,0.887936569541956,0.875563974080304,0.892064584956547
2021-02-04,0.925154635950194,0.912732410007012,0.929298859891217
2021-02-05,0.950045342142769,0.937592429145145,0.958355473230891
2021-02-06,0.958355473230891,0.945892717851393,0.966672014180265
2021-02-07,0.921012141508888,0.912732410007012,0.925154635950194
2021-02-08,0.863208987037301,0.854982396978562,0.867325324343194
2021-02-09,0.838554192751125,0.830352957785943,0.842658063360194
2021-02-10,0.85909467049139,0.846764070133907,0.863208987037301
2021-02-11,0.892064584956547,0.879686243881497,0.896194475714213
2021-02-12,0.925154635950194,0.912732410007012,0.929298859891217
2021-02-13,0.929298859891217,0.916871393713186,0.937592429145145
2021-02-14,0.90445980616395,0.892064584956547,0.908595208138116
2021-02-15,0.867325324343194,0.854982396978562,0.871443660524972
2021-02-16,0.875563974080304,0.867325324343194,0.879686243881497
2021-02-17,0.921012141508888,0.912732410007012,0.929298859891217
2021-02-18,0.974994848311079,0.962512949857593,0.98332386280195
2021-02-19,1.02087806671741,1.00834691507031,1.02923921553555
2021-02-20,1.04597801952056,1.03760589585848,1.05435550114075
2021-02-21,1.01669959496233,1.00834691507031,1.02505794406633
2021-02-22,0.974994848311079,0.966672014180265,0.974994848311079
2021-02-23,0.974994848311079,0.97083265173802,0.979158589916156
2021-02-24,1.01669959496233,1.00834691507031,1.01669959496233
2021-02-25,1.05435550114075,1.05016609581629,1.05854622523942
2021-02-26,1.08791739135946,1.08371770978863,1.08791739135946
2021-02-27,1.0921183152307,1.0921183152307,1.0921183152307
2021-02-28,1.05016609581629,1.05016609581629,1.05435550114075
2021-03-01,0.995828735017939,0.99165894854391,1
2021-03-02,0.987490653444715,0.987490653444715,0.99165894854391
2021-03-03,1.01252254046239,1.01252254046239,1.01669959496233
2021-03-04,1.04179128267247,1.04179128267247,1.04597801952056
2021-03-05,1.06693158954486,1.06273825801909,1.06693158954486
2021-03-06,1.07112621003721,1.06693158954486,1.07532210986907
2021-03-07,1.02923921553555,1.02505794406633,1.03342186983578
2021-03-08,0.97083265173802,0.97083265173802,0.979158589916156
2021-03-09,0.966672014180265,0.966672014180265,0.974994848311079
2021-03-10,1.01669959496233,1.01252254046239,1.01669959496233
2021-03-11,1.07112621003721,1.07112621003721,1.07532210986907
2021-03-12,1.1173494574451,1.11314126210802,1.12155883551995
2021-03-13,1.13840801695007,1.13419398675185,1.14262319105644
2021-03-14,1.10472845226734,1.10052385438722,1.10893425763264
2021-03-15,1.05854622523942,1.05435550114075,1.06273825801909
2021-03-16,1.06273825801909,1.05854622523942,1.06693158954486
2021-03-17,1.10472845226734,1.10472845226734,1.11314126210802
2021-03-18,1.15105694141283,1.14683950164831,1.15527550314493
2021-03-19,1.18061004449156,1.17638489645504,1.18906355735029
2021-03-20,1.18061004449156,1.17638489645504,1.19329190945046
2021-03-21,1.13840801695007,1.12998110799609,1.14683950164831
2021-03-22,1.07951927956306,1.07112621003721,1.0921183152307
2021-03-23,1.07112621003721,1.06273825801909,1.08371770978863
2021-03-24,1.10052385438722,1.09632047249647,1.11314126210802
2021-03-25,1.14262319105644,1.13419398675185,1.15105694141283
2021-03-26,1.16793784967407,1.16371596421945,1.18061004449156
2021-03-27,1.16793784967407,1.15949517974549,1.18061004449156
2021-03-28,1.12155883551995,1.11314126210802,1.13419398675185
2021-03-29,1.06273825801909,1.05435550114075,1.07532210986907
2021-03-30,1.03760589585848,1.03342186983578,1.05435550114075
2021-03-31,1.05016609581629,1.04597801952056,1.06273825801909
2021-04-01,1.07112621003721,1.06273825801909,1.07951927956306
2021-04-02,1.06693158954486,1.06273825801909,1.07951927956306
2021-04-03,1.03760589585848,1.03342186983578,1.04597801952056
2021-04-04,0.979158589916156,0.97083265173802,0.987490653444715
