"values_r","values_R_consensus","values_R_hzi"
-0.426,0.00297880216759596,9.55808219121398e-06
-0.425,0.00305399389270587,9.94573932275281e-06
-0.424,0.00313100737100935,1.03489249383105e-05
-0.423,0.0032098839667498,1.07682517800286e-05
-0.422,0.00329066588272234,1.12043563211358e-05
-0.421,0.00337339617361023,1.16578996633381e-05
-0.42,0.0034581187593968,1.21295684670834e-05
-0.419,0.00354487843884684,1.26200759158505e-05
-0.418,0.00363372090305193,1.31301627156541e-05
-0.417,0.00372469274903369,1.36605981309931e-05
-0.416,0.00381784149339868,1.42121810585114e-05
-0.415,0.00391321558603791,1.47857411396793e-05
-0.414,0.0040108644238646,1.538213991385e-05
-0.413,0.00411083836458252,1.6002272013084e-05
-0.412,0.00421318874047726,1.66470664001832e-05
-0.411,0.00431796787222297,1.73174876514202e-05
-0.41,0.00442522908269563,1.80145372854967e-05
-0.409,0.00453502671078489,1.87392551403131e-05
-0.408,0.0046474161251951,1.94927207991804e-05
-0.407,0.00476245373822634,2.02760550681594e-05
-0.406,0.00488019701952585,2.1090421506262e-05
-0.405,0.00500070450979973,2.19370280103053e-05
-0.404,0.0051240358344745,2.28171284562639e-05
-0.403,0.00525025171729782,2.37320243990236e-05
-0.402,0.00537941399386702,2.46830668324972e-05
-0.401,0.00551158562507402,2.56716580121238e-05
-0.4,0.00564683071045487,2.66992533418354e-05
-0.399,0.00578521450143095,2.77673633276345e-05
-0.398,0.00592680341442993,2.88775555999958e-05
-0.397,0.00607166504387264,3.0031457007367e-05
-0.396,0.00621986817501266,3.12307557831152e-05
-0.395,0.00637148279661486,3.24772037883318e-05
-0.394,0.00652658011345781,3.37726188329824e-05
-0.393,0.00668523255864629,3.51188870779606e-05
-0.392,0.00684751380571794,3.65179655206778e-05
-0.391,0.00701349878052892,3.79718845669004e-05
-0.39,0.00718326367290233,3.94827506916198e-05
-0.389,0.00735688594802331,4.10527491918248e-05
-0.388,0.00753444435756379,4.26841470341243e-05
-0.387,0.00771601895051978,4.43792958002527e-05
-0.386,0.00790169108374366,4.61406347335766e-05
-0.385,0.00809154343215334,4.79706938898054e-05
-0.384,0.00828565999860048,4.98720973952014e-05
-0.383,0.00848412612337799,5.18475668156704e-05
-0.382,0.00868702849334887,5.38999246402104e-05
-0.381,0.00889445515067623,5.6032097882288e-05
-0.38,0.00910649550113459,5.82471218028072e-05
-0.379,0.00932324032198301,6.05481437584352e-05
-0.378,0.00954478176937831,6.29384271791461e-05
-0.377,0.00977121338530899,6.54213556789474e-05
-0.376,0.0100026301040275,6.80004373038546e-05
-0.375,0.0102391282579603,7.06793089212856e-05
-0.374,0.0104808055830727,7.34617407551495e-05
-0.373,0.0107277612236688,7.63516410710165e-05
-0.372,0.0109800957366014,7.93530610158615e-05
-0.371,0.0112379110948719,8.24701996169844e-05
-0.37,0.0115013106905957,8.57074089448269e-05
-0.369,0.0117703993373114,8.90691994445128e-05
-0.368,0.0120452832716104,9.2560245441059e-05
-0.367,0.0123260701540633,9.6185390823319e-05
-0.366,0.0126128690694206,9.99496549118374e-05
-0.365,0.012905790526063,0.000103858238515914
-0.364,0.0132049464546799,0.000107916530185296
-0.363,0.0135104502061509,0.000112130112662034
-0.362,0.0138224165486061,0.000116504769538171
-0.361,0.0141409616636451,0.000121046492125031
-0.36,0.0144662031416873,0.000125761486540029
-0.359,0.0147982599764327,0.00013065618101703
-0.358,0.015137252558409,0.000135737233446394
-0.357,0.0154833026675824,0.000141011539151009
-0.356,0.015836533465009,0.000146486238904689
-0.355,0.016197069483504,0.000152168727199492
-0.354,0.0165650366173073,0.000158066660768571
