date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive,R.HZI,lower.HZI,upper.HZI
2020-08-20,1.1120623081064849,1.0891765953338477,1.1352663805167733,1.1127946939302664,1.1358857511916083,1.0900187190427075,1.124566585512117,1.0868813861138493,1.1622517849103846,1.1120070799033839,1.0889626764084623,1.1350514833983054,1.168867300893147,1.0795787639375942,1.2667609293882531,1.07911836215123,0.9590293573566744,1.19548377407991,0.996,0.888,1.118,1.13419398675185,1.12998110799609,1.14683950164831
2020-08-21,1.1167539000835538,1.0941267687721299,1.1396908632765974,1.1003512135266738,1.122997022267258,1.0780119145087144,1.1132969066445069,1.0745178999660643,1.1520759133229495,1.116700264833531,1.0939186838539514,1.1394818458131104,1.1576297047459891,1.0690478602176843,1.2547397342616187,1.0666040906302594,0.9464530020859286,1.186107547769531,0.998,0.888,1.11,1.15105694141283,1.14262319105644,1.16371596421945
2020-08-22,1.105024304643471,1.0828297877301352,1.1275200473842815,1.0859863252931854,1.108211503103776,1.064060304238421,1.0999293008133062,1.0598414030385457,1.1400171985880667,1.1049718833013258,1.0826272084005668,1.1273165582020848,1.1430484575104987,1.0562272409027287,1.238660769288641,1.050520274853357,0.9293385746423364,1.1700906505922395,0.999,0.891,1.115,1.12576938833084,1.12155883551995,1.13840801695007
2020-08-23,1.0852170023455228,1.0635039430149575,1.1072236071617831,1.0700505183341005,1.0918869875800141,1.0485071450871573,1.0851339314213442,1.043345277285118,1.1269225855575704,1.0851654635365917,1.0633060822242255,1.107024844848958,1.1250628270881218,1.0412475020601482,1.2190981207808191,1.0436771323986676,0.9242175833712352,1.162784084046941,1,0.884,1.121,1.06693158954486,1.05854622523942,1.07951927956306
2020-08-24,1.0500261909467847,1.0288848453948876,1.0714551784276423,1.0534665057628732,1.0749576047992353,1.0322637751679355,1.0693426780423863,1.0260536091986,1.1126317468861726,1.049974898129564,1.0286901921361322,1.0712596041229958,1.1045108598991025,1.0212283110881855,1.2027950232852456,1.024318659267023,0.903324817156538,1.1438929110267964,1.003,0.89,1.127,1.02923921553555,1.02087806671741,1.04179128267247
2020-08-25,1.0332017926190922,1.012343717417052,1.054344422800638,1.036770614453292,1.057964486493839,1.0158616980379036,1.05274058939583,1.0091493619521832,1.0963318168394767,1.033150676391286,1.0121507881028406,1.0541505646797316,1.0837107193812459,0.9992605665974585,1.1787422615963798,0.9976011204701136,0.8782893010923462,1.1155737967851873,1.005,0.9,1.141,1.01252254046239,1.00417273083395,1.02505794406633
2020-08-26,1.011679468653459,0.9911014418705619,1.0325403820213461,1.0205665912846054,1.0415154043185666,0.9999005869379838,1.035673636243211,0.993044873282275,1.0783023992041472,1.011628176638277,0.9909091814969396,1.0323471717796144,1.0603099735689794,0.9772474344090847,1.1511968067704204,0.9677875594986922,0.846471396005257,1.0869139910557766,1.006,0.891,1.133,1.01252254046239,1.00834691507031,1.02505794406633
2020-08-27,1.001535041873508,0.9810688169460923,1.0222839402169472,1.0053396782865638,1.0260972647917843,0.9848639442092662,1.0188382416557196,0.9776148073347791,1.06006167597666,1.0014835645547429,0.980876484321305,1.0220906447881808,1.035973385828342,0.9538754355671519,1.1222813984860325,0.9528881081075248,0.8338279740559427,1.0741958735798178,1.009,0.892,1.13,1.02505794406633,1.02087806671741,1.03342186983578
2020-08-28,0.971728959606781,0.9515535170386766,0.992187589038161,0.9918484356577144,1.0124723126169097,0.9715065492917293,1.0033096393262557,0.9635395735008114,1.0430797051517,0.9716767295638722,0.9513601974089172,0.9919932617188272,1.01371114082417,0.9313688108074394,1.0963029483524687,0.9507768020124312,0.8309165872706564,1.0705550883636945,1.016,0.907,1.133,1.02923921553555,1.02505794406633,1.03760589585848
2020-08-29,0.9693624342600105,0.9491191245399785,0.9898915586523481,0.9805493199690102,1.0010961751191396,0.9602855484428112,0.9897232804502358,0.9517102627134004,1.0277362981870712,0.9693096667098331,0.9489239622622653,0.9896953711574009,0.9917048062154501,0.9110860224608218,1.074049287983752,0.9658196059774252,0.8473614487099689,1.0867299967644386,1.018,0.907,1.139,1.00417273083395,1,1.01252254046239
2020-08-30,0.9766507358486289,0.9562283566137391,0.9973618432556528,0.972373210591449,0.992903119046146,0.9521282656948108,0.9788824170040344,0.9420451890237915,1.0157196449842774,0.9765975947336266,0.9560313664729793,0.997163822994274,0.9730827465173071,0.893243965355054,1.053184408589578,0.984428986653402,0.8646008175965759,1.104105577146152,1.022,0.916,1.149,0.950045342142769,0.945892717851393,0.958355473230891
