date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive
2020-12-17,0.9774364898110552,0.9727592355278335,0.9821287130104718,0.9513875503752823,0.9560706843488852,0.946719734404026,0.8950422001439311,0.8450742397853346,0.9450101605025276,0.9901436618667536,0.9853980119167651,0.9948893118167421,0.8733467791037877,0.7958618870302183,0.9478299312183295,1.145432623770576,1.0084647325708818,1.2801910997574473,0.962,0.854,1.069
2020-12-18,0.8879969255962716,0.8835232143023346,0.8924857131934891,0.922566709207835,0.9271817563250124,0.9179670018261256,0.8822242100952179,0.8309321539311328,0.933516266259303,0.8825811902544846,0.8781272636405583,0.8870351168684109,0.8649262996565357,0.7881695054046775,0.942055634531406,1.1514109785932476,1.0159133457938083,1.2891747508130114,0.953,0.844,1.064
2020-12-19,0.8580429468558707,0.8535700179804133,0.8625314747130883,0.8973227729971772,0.9018924033078176,0.8927686041582589,0.8733784402356612,0.8193274460602963,0.9274294344110262,0.8184763422421698,0.8142022242619189,0.8227504602224207,0.8624542481678847,0.7828884464876189,0.9367453202766394,1.1211111144227273,0.9844482958328656,1.254591487445761,0.943,0.838,1.055
2020-12-20,0.8703650200542602,0.8657621684759605,0.8749841569321009,0.8766946552893495,0.8812439567359649,0.8721610376175242,0.8686473309829951,0.8111693591541221,0.926125302811868,0.7978144638853643,0.7935878180057495,0.802041109764979,0.865154621396492,0.7860375710549257,0.9390586953582863,1.078519383044346,0.94417201440705,1.2136053238773143,0.934,0.833,1.046
2020-12-21,0.8740407470621852,0.8693419781226307,0.878756416720778,0.8621611236798995,0.8667183301592137,0.8576199198039746,0.8687133219468628,0.8083899516643348,0.9290366922293908,0.7853694356841636,0.7811397549991376,0.7895991163691897,0.8724491030247403,0.7971547214681901,0.9440025587809092,1.03056285146746,0.8951768304078327,1.167005882735188,0.927,0.826,1.044
2020-12-22,0.8943489066833201,0.8895155418344596,0.8991997486223753,0.8554362109676794,0.8600331645284202,0.8508556674188206,0.872902066919697,0.8109377745585693,0.9348663592808246,0.8002793577539996,0.7959465488381731,0.8046121666698262,0.8847794753848558,0.8098158520388775,0.9564661813833805,0.9677551497910666,0.8342088671565958,1.10430896275489,0.923,0.824,1.034
2020-12-23,0.8999593357683942,0.8950444901410572,0.9048921407351583,0.8573810741122965,0.8620505428832228,0.8527284979408463,0.8808974580048086,0.8187875367669204,0.9430073792426967,0.8144201388237622,0.8099643036853426,0.8188759739621818,0.9011541875588546,0.8295046131993917,0.9720503342987674,0.900955231623978,0.7653158437250043,1.0377853077201429,0.913,0.811,1.04
2020-12-24,0.9115477336030567,0.9065400486295392,0.9165738261904687,0.8665966057134529,0.8713651377977543,0.8618455025944914,0.8930918822881774,0.832402544503241,0.9537812200731137,0.8400636179987799,0.8354401473464913,0.8446870886510686,0.9202205072330755,0.8502186934389151,0.9906266377541814,0.8142074440656586,0.6747036212774586,0.952424387016941,0.905,0.805,1.024
2020-12-25,0.9109490497217114,0.9058885403133131,0.9160283702743627,0.8796921696211645,0.8845733296747965,0.8748289991569234,0.909202703448079,0.8506680995589375,0.9677373073372204,0.8577342305929843,0.8529604745339002,0.8625079866520683,0.9418554408386932,0.8733975187073857,1.012396222231296,0.781084456592213,0.6420475893014697,0.9203888500831854,0.901,0.794,1.013
2020-12-26,0.9198852575475007,0.9147446888775246,0.9250450491267714,0.8960469732029932,0.9010484571405898,0.8910640315544438,0.9280353461128619,0.871294329464381,0.9847763627613427,0.8818244194333503,0.8768873210409929,0.8867615178257078,0.9646768701306689,0.896409019703066,1.0354853101154549,0.8252625038904406,0.6887158335285681,0.9618549169376172,0.892,0.791,1.013
2020-12-27,0.9305180694286935,0.925296947039338,0.935758795605644,0.9165351742455368,0.9216637376190507,0.9114256713893396,0.9475395214663482,0.8918585689070213,1.0032204740256752,0.9054563954405024,0.9003663451616996,0.9105464457193052,0.9856395227661796,0.9126403772989048,1.0598378538657962,0.8950974956358426,0.7582282127438251,1.032336713237327,0.885,0.789,1.004
2020-12-28,0.9345867253948433,0.9293109024099159,0.9398824784025249,0.9416471163209448,0.9469082195082842,0.9364055367500721,0.9649236615165758,0.9096580729157726,1.020189250117379,0.9186934830721851,0.9134975722592218,0.9238893938851485,1.004370418877886,0.9291105770134109,1.0868038479028186,0.944320874958426,0.805858961560427,1.0824602702821973,0.881,0.787,1.007
2020-12-29,0.9489809443523664,0.9436235307962275,0.9543585974153601,0.9699761316632163,0.9753684634285086,0.9646037109866271,0.9775463600727972,0.9227468294304928,1.0323458907151015,0.9373488355835085,0.9320470834385477,0.9426505877284692,1.0197694510676336,0.9423140331104352,1.1098852542076794,0.9599162997159912,0.8230524402372327,1.101495129976349,0.876,0.779,1.003
