date,3.6(3.1),3.6(3.1).lower,3.6(3.1).upper,4(0),4(0).lower,4(0).upper,4(4),4(4).lower,4(4).upper,4.7(2.9),4.7(2.9).lower,4.7(2.9).upper,4.8(2.3),4.8(2.3).lower,4.8(2.3).upper,5.6(4.2),5.6(4.2).lower,5.6(4.2).upper,7(7),7(7).lower,7(7).upper,10.3(7.6),10.3(7.6).lower,10.3(7.6).upper
2020-03-28,1.236632997336684,1.2232683464904968,1.2500946380102242,1.279934564711641,1.266101941289673,1.2938675741274501,1.268615384774689,1.2549050910075568,1.2824251767659602,1.3434317610550528,1.3289129050477753,1.358055983177294,1.3521968206167638,1.3375832380730437,1.3669164567240402,1.4394996064839753,1.4239425174564986,1.455169596282019,1.5532697085778076,1.5364830731169963,1.5701781678628193,2.1036862400947283,2.080951093814995,2.126586379679404
2020-03-29,1.1873603371925492,1.1746791693056517,1.2001324441697279,1.2124673353321613,1.1995180213327727,1.2255095113491001,1.2175192196609104,1.204515950858324,1.2306157374013027,1.2777479084832974,1.264101389194199,1.2914922895829741,1.2849515343839821,1.2712280794026765,1.2987734028964897,1.36383073425244,1.3492648388215225,1.378501084516811,1.4722246140376347,1.4565010574111963,1.4880609273082834,1.9487022886814376,1.9278898864895468,1.96966394060638
2020-03-30,1.1409398624157008,1.1288239533013413,1.1531421580761265,1.1501831751153007,1.1379691090863893,1.1624843275500032,1.1696809085323376,1.157259791480144,1.1821905882660682,1.2122295529834048,1.1993566018546833,1.2251942883748832,1.2156233968071455,1.202714405651538,1.2286244291912407,1.289831310364526,1.276134287897326,1.3036259927308853,1.394315073664407,1.3795085135065988,1.4092272047355556,1.8005243021121884,1.7814041104866645,1.8197808208840336
2020-03-31,1.132944181570806,1.1211007952539542,1.1448706852518595,1.1147551803090143,1.1031019351943203,1.1264902083692634,1.160917231113325,1.1487814247129586,1.173138207093867,1.1869179737263984,1.1745103650216462,1.1994126595308923,1.185425464365565,1.1730334578107064,1.1979044385236466,1.2588463081359877,1.2456867867903503,1.2720981835346934,1.3627599447113221,1.3485141480119913,1.37710571898809,1.714630981966,1.6967068534514684,1.7326809027394254
2020-04-01,1.1102020462786084,1.0986807778840848,1.121803579422314,1.08484777954393,1.07358962840178,1.096184362387064,1.1352972932188063,1.123515595584043,1.1471610699244854,1.1539172834610227,1.1419423544177938,1.1659756377525157,1.149334187650267,1.1374068202892476,1.1613446489135246,1.2183083873739133,1.205665231143672,1.2310396241634245,1.3168200076563283,1.3031545340730812,1.330580683935325,1.6203332638995065,1.6035180414050636,1.6372656323165804
2020-04-02,1.0942312322032737,1.0829647307126524,1.10557560394593,1.076246416183639,1.0651650912357178,1.087404331505892,1.1174310492999449,1.1059256762013772,1.1290159436504017,1.1298793001371468,1.1182457564723538,1.1415932509254818,1.1248240849877786,1.1132425911889914,1.1364856261590182,1.1872613082085066,1.1750369438282702,1.1995701632654674,1.2807622886959071,1.2675752128658113,1.294040509139027,1.5443617650827026,1.5284605975631758,1.5603728361000837
2020-04-03,1.0724483419178676,1.0614353614564414,1.0835372374366032,1.0696405623126333,1.0586564149620654,1.0807004259671147,1.0934627079712163,1.0822339308194422,1.104768887717499,1.1011840346647346,1.0898759671483917,1.1125700513426662,1.0961025283553616,1.0848466428672923,1.10743600330206,1.1518044237548313,1.1399765350646291,1.1637138448558924,1.2394334316383526,1.2267056799767093,1.2522489186773713,1.466738950565439,1.4516769967414411,1.481904729969782
2020-04-04,1.0383979939831278,1.0276690142753722,1.0492013896427315,1.0237334036307533,1.0131559420241736,1.0343842302631818,1.057396660470171,1.0464713819363438,1.0683977164799041,1.0599118465129629,1.0489605804674391,1.070939070283165,1.0548989893514789,1.0439995173609082,1.0658740598243763,1.1038991700796965,1.0924934163476783,1.1153840338523369,1.1850309427688823,1.1727869159008601,1.1973598939203554,1.3773092848039077,1.363078591511366,1.3916386818516684
2020-04-05,1.0112303454115794,1.0007005612543072,1.0218337376363618,0.9932377623983861,0.9828953322069246,1.0036524909663753,1.0288337752891925,1.0181206893571269,1.0396217506530596,1.0232757738967655,1.0126205625679232,1.0340054700871315,1.017317451122039,1.0067242828806515,1.0279846705150375,1.0617486156073792,1.0506927925673004,1.0728817239703632,1.1380006400615652,1.1261508165618477,1.1499332993150957,1.2974131792218113,1.2839034177693447,1.3110173801630831
2020-04-06,0.995132453615865,0.9847013740350522,1.0056369396811211,0.964749450268037,0.9546368484181772,0.9749332173836417,1.011127854836455,1.0005291098333633,1.021801186233425,0.9978344578846409,0.987375055620297,1.0083674659482367,0.990057957877677,0.9796800696772531,1.0005088782396179,1.0313488437975118,1.020538140331716,1.0422356252693894,1.1033615290848617,1.0917959813284077,1.1150084669021323,1.233245679266194,1.2203186726387076,1.2462636569291856
