date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive
2020-07-06,0.9578556437845903,1.005225080385852,0.9833109120636284,0.9517003763158738,0.9576659852937007,0.8997341898120882,1.077116266784752,1.056
2020-07-07,0.9978876653777433,1.065459036640593,1.0046793318756095,0.9677566696470291,0.9976994494937065,0.9296241708873799,1.1210379130751422,1.067
2020-07-08,1.029583196583079,1.115497690046199,1.0270250497484323,0.9862741630927454,1.029397777114322,0.9618996123636996,1.1335400198300658,1.075
2020-07-09,1.069409161766057,1.1705298013245033,1.0489434612740531,1.006585026944222,1.0692288494860827,0.9949723595170341,1.143510494056744,1.084
2020-07-10,1.081929961097781,1.1875249900039984,1.0682407024948286,1.0275855076604243,1.0817543026913738,1.0284304582854071,1.1404702091212235,1.091
2020-07-11,1.1155871644956823,1.2252704791344669,1.0849335781443994,1.0487544461139864,1.1154181923618585,1.0595542914598886,1.154795913344546,1.099
2020-07-12,1.0988593975459189,1.228539156626506,1.100212061361261,1.0698335444065266,1.0986944082667787,1.090722486600261,1.1439762653158605,1.105
2020-07-13,1.115867680597211,1.1902404526166903,1.113388416149495,1.0902458321367678,1.115708319543502,1.1207021233271663,1.1434903926808488,1.107
2020-07-14,1.1006036296822055,1.1673400673400673,1.1243628006948128,1.1092676084873003,1.1004478745570836,1.1460454322258773,1.1434729922230915,1.111
2020-07-15,1.1268265212974526,1.1431725007883948,1.1318590151767138,1.1261610956344499,1.1266765784086525,1.1678181020333536,1.1749987849017394,1.111
2020-07-16,1.1377414182765622,1.1562978853815506,1.1365084403878352,1.1402333252651013,1.1375969154657426,1.1853259864079597,1.193799935462164,1.109
2020-07-17,1.1860285213920043,1.1743909685086156,1.1401120807789593,1.150709518513597,1.1858921624468721,1.2002888588407705,1.205963629431571,1.109
2020-07-18,1.1627280930069293,1.1915200461494087,1.1428679538481572,1.156828314398275,1.1625966913740138,1.2094390087470392,1.1789988966493974,1.108
2020-07-19,1.1239674745702786,1.1966896551724138,1.1437250322984123,1.1586572194569764,1.123839319687016,1.2140663307694068,1.14195124680824,1.107
2020-07-20,1.1094609517020702,1.1916247018287836,1.1424404683136804,1.156518245888421,1.1093358477908475,1.2136000087688628,1.1261337900515715,1.101
2020-07-21,1.1438177750890832,1.1705034151277511,1.1395460218433873,1.1507922169672948,1.1436977573034062,1.21018473388307,1.152003284907797,1.098
2020-07-22,1.1588783753539598,1.1418542725732268,1.136459936744573,1.142785001456296,1.1587633203415204,1.204718750791534,1.1593493139827358,1.095
2020-07-23,1.1517538696696124,1.1180267404333795,1.1342817460993242,1.1336985665072368,1.1516430436485905,1.1966372251445985,1.1524061840782491,1.092
2020-07-24,1.136716438812426,1.0934163701067616,1.1331295874075338,1.1247548095645121,1.1366090761449528,1.1877180892432637,1.154972793974653,1.085
2020-07-25,1.1033699273575124,1.0633239680138318,1.1325658863322876,1.1170208226968323,1.1032645853332312,1.178118052668082,1.1471913273655072,1.083
2020-07-26,1.0973887723149884,1.0614797540809837,1.1320996710332625,1.1112931487860094,1.0972857493104402,1.168977278949689,1.1552213849764208,1.074
2020-07-27,1.1339930991210474,1.0496907216494846,1.132109170190652,1.1080131162172546,1.1338940389017622,1.160465577896014,1.1618934036875257,1.067
2020-07-28,1.1398428327322154,1.0775020341741253,1.1323956975043616,1.1069893038345433,1.1397472469445658,1.1527814272395862,1.1639179553789354,1.061
2020-07-29,1.14160041240645,1.1339430894308944,1.1330072856123343,1.1078358170741749,1.1415082782864168,1.1471739310953826,1.1548732779446973,1.055
2020-07-30,1.1646617852405072,1.1651687637307768,1.1331771545792277,1.1110459193378044,1.1645738312736214,1.1437802273230058,1.1502169599109755,1.05
2020-07-31,1.1350506235631894,1.1907287369868396,1.1334047114696442,1.1164122137572443,1.134965105366923,1.1427023992858096,1.130555631312721,1.04
2020-08-01,1.1244156022645604,1.1912403247121013,1.1343922282592154,1.1234896726045764,1.1243325811469849,1.1428119427076215,1.141217210650118,1.037
2020-08-02,1.093692404590899,1.17422477146442,1.1365032849653576,1.1317458207353166,1.0936107335883987,1.1457595755651147,1.1557983298660168,1.032
2020-08-03,1.1207909191135308,1.170380527939664,1.1386757803365983,1.1402480604730916,1.1207120250474676,1.1487663349866888,1.1888193913433958,1.021
2020-08-04,1.1303719236347685,1.1558891454965359,1.1404187120118372,1.1482086075270101,1.1302956130395654,1.1539356202605737,1.1987700533585974,1.019
2020-08-05,1.166417454320607,1.1345483359746433,1.1419776324138458,1.1546365711408297,1.1663448386706032,1.1600175505752905,1.2008356048593192,1.012
2020-08-06,1.1687075417320574,1.1419630590749503,1.1436575559424729,1.1581377665318626,1.1686380068273712,1.1663924629823383,1.171557612286675,1.009
2020-08-07,1.1732053730733727,1.1420620972466315,1.1445556697347334,1.1586859323100442,1.1731389472430853,1.1710613783992523,1.1412970124175867,1.006
2020-08-08,1.1285149887395296,1.1601255886970172,1.143709497729191,1.1569808486176472,1.1284501030433576,1.1755979915503634,1.129730035817577,1.006
2020-08-09,1.1165558463383214,1.1845229780695627,1.14092846537891,1.153153684739384,1.1164926755905202,1.178574536972964,1.1562058876899988,1.002
