Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2021-05-14,0.0,170727193,517832.0,2505608.753402276,3257243.2632836327,4041821.34295116,4851169.64971399,5677609.59546394,6514531.878446048,7356507.203430532,-0.05461890434362937,-0.048775682004229326,-0.04421264519528356,-0.04042893719232554,-0.037185556137471654,-0.03435304076552814,-0.03185101117739686
Germany,2021-05-15,0.0,171221253,494060.0,2373266.565051707,3099854.610626906,3862244.4524593,4652205.414040564,5461968.396030948,6284755.0030631535,7114916.483087478,-0.05281837723901084,-0.04831958804884062,-0.044429695242477196,-0.04101366269166795,-0.037980984040409616,-0.035271433108360895,-0.03284041103506208
Germany,2021-05-16,0.0,171707998,486745.0,2266694.9237887803,2966628.688501525,3705282.0437160833,4474349.6406061975,5265967.346527079,6073193.891611692,6890169.834778731,-0.044905044731291976,-0.04297811957652997,-0.0406402056305033,-0.038230421403489534,-0.03588469124909188,-0.033662586902488356,-0.031588093668138195
Germany,2021-05-17,0.0,172179742,471744.0,2171765.1928415853,2845046.9508012203,3559479.0364300697,4306900.834805313,5079465.428211194,5870138.570321503,6672896.851300858,-0.0418802415582773,-0.04098313286443578,-0.03935004287549071,-0.03742416647130831,-0.03541645932135973,-0.033434684436907114,-0.03153376312745859
Germany,2021-05-18,0.0,172620784,441042.0,2069865.8946311888,2717079.5606409763,3407274.5303583913,4132671.2869759826,4885574.249684795,5658942.951396891,6446649.166170772,-0.04692003470092876,-0.044979008210815574,-0.04276033220421205,-0.040453577760911186,-0.038171571647979685,-0.03597796140492904,-0.03390546717142484
Germany,2021-05-19,0.0,173026112,405328.0,1957727.4209733917,2578991.648512781,3244723.441965326,3947617.6745508425,4680205.468474195,5435499.512352792,6207312.249553695,-0.05417668552762833,-0.050822182069493516,-0.047707071134056034,-0.04477820750184813,-0.04203575070501675,-0.03948501353754463,-0.037125785884706386
Germany,2021-05-20,0.0,173422851,396739.0,1865034.5657300437,2459932.318810225,3100675.201637772,3780411.292472151,4491918.784914921,5228294.12209137,5983320.024598326,-0.04734717113849318,-0.04616506989125524,-0.04439461263925293,-0.04235627557263788,-0.04023043108418445,-0.038120763287812665,-0.036085219487947406
Germany,2021-05-21,0.0,173818561,395710.0,1794485.9242975328,2363655.85504818,2979606.00136481,3636062.5364047014,4326138.936800556,5043082.552970106,5780698.022138493,-0.03782698869438683,-0.03913785067412345,-0.0390460762252729,-0.03818334696938619,-0.03690624342343374,-0.03542485652034766,-0.033864476850113845
Germany,2021-05-22,0.0,174195112,376551.0,1722415.4432231495,2267475.684038544,2859556.001137342,3493176.03120403,4161922.569700487,4859291.047084538,5579179.219924644,-0.0401621880108064,-0.040691275256598436,-0.04029056196439362,-0.03929704282312929,-0.03795910614500919,-0.03644427866391442,-0.034860634726478934
Germany,2021-05-23,0.0,174556074,360962.0,1652773.5824173621,2174942.547230835,2743925.334281118,3355112.8838891685,4002644.248487926,4680331.8196307,5382223.29793218,-0.040432673243725015,-0.04080887722813442,-0.04043658064756683,-0.03952367303610338,-0.038270371095352584,-0.03682825863275041,-0.035301952891042654
