Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-06-22,0.0,186745,436.0,2011.5906623185742,2501.051433372935,2959.6054029164534,3402.385391242882,3842.331028990439,4290.970891947149,4758.886326959959,-0.042458785254032794,-0.0310937953587479,-0.02269275818103722,-0.016874090615335624,-0.013002664229298966,-0.010577133963542762,-0.009227314733498249
Germany,2020-06-23,0.0,187286,541.0,2049.6929967389306,2541.841146698348,3007.337835763711,3457.330335351042,3903.039650366634,4355.196348397465,4823.997694263963,0.018941395550344797,0.016309026188399356,0.016127971924980722,0.016148947808669156,0.01579994563668441,0.014967581479251812,0.013682059799398072
Germany,2020-06-24,0.0,187789,503.0,2040.269747554198,2536.4729173586784,3009.1148631364263,3466.4260017294646,3918.1596940708046,4374.285643019968,4844.597924837567,-0.0045973954146913965,-0.0021119452514342107,0.0005908971554782205,0.0026308352098785015,0.0038739149633670866,0.00438310769376149,0.004270364929506165
Germany,2020-06-25,0.0,188350,561.0,2091.2023106656484,2590.1783338869427,3068.5957192803553,3532.222287196684,3989.389732311954,4449.253904906638,4921.138132353811,0.02496364177947874,0.021173266294595372,0.01976689453520275,0.01898101544195452,0.018179462758738163,0.017138401102428258,0.01579908357798554
Germany,2020-06-26,0.0,188921,571.0,2139.401732999236,2643.142667109554,3128.1630994002962,3598.6191033114437,4061.71601577296,4525.892359917012,5000.02431911843,0.02304866539586281,0.0204481415544584,0.019411934829235422,0.01879746253666692,0.01812966100433888,0.017225012698389053,0.016030069598328422
Germany,2020-06-27,0.0,189243,322.0,1926.551299749427,2436.5141336876436,2928.8025828335803,3406.530659981238,3876.00151380134,4345.015431037344,4822.021887206587,-0.09949063327690832,-0.07817532363770285,-0.06373085744951579,-0.053378375931324995,-0.04572316263629228,-0.03996492061578438,-0.035600313228721925
Germany,2020-06-28,0.0,189443,200.0,1644.9134748120703,2149.2113069501147,2640.668819027984,3119.8834228410615,3591.5013245761725,4062.235938699861,4539.819698485929,-0.14618755543856388,-0.11791551822549806,-0.09837937370528771,-0.08414638403452834,-0.07340043294930176,-0.06508135513571034,-0.05852362252219867
Germany,2020-06-29,0.0,189857,414.0,1647.6851061090526,2133.3690455600918,2614.557349189987,3088.185791006624,3556.563659004151,4024.876389955432,4499.837728637336,0.0016849708750177328,-0.007371197675534402,-0.00988820318922401,-0.010159877001292728,-0.009727872111016,-0.009196794402933195,-0.008806951047401035
Germany,2020-06-30,0.0,190309,452.0,1687.7638295817894,2158.6952364480735,2630.797790991656,3099.0163922913925,3563.993201628632,4029.6679021826058,4501.853955773602,0.02432426154981826,0.011871453249352237,0.006211545448295608,0.003507108062056785,0.0020889665803314195,0.001190474380562856,0.0004480666321442506
Germany,2020-07-01,0.0,190786,477.0,1742.822872186342,2203.956189158459,2669.3314924930464,3133.299764821194,3595.494051425053,4058.9270241623162,4528.668560196242,0.03262248049135863,0.02096680992582267,0.01464715442339859,0.01106266253224053,0.008838639137141557,0.007260926381517097,0.0059563470263734875
Germany,2020-07-02,0.0,191252,466.0,1773.1171541397566,2229.1649513267676,2690.442910410872,3151.6855127038807,3612.0572949969214,4073.9351325887255,4541.801704176618,0.01738230685222253,0.011437959743625381,0.007908878300502353,0.005867854741863798,0.004606666937831294,0.003697555619272652,0.002900001138481878
Germany,2020-07-03,0.0,191678,426.0,1755.8378656048176,2209.3319610614144,2668.035758675727,3127.444725174755,3586.5501331223063,4047.2756734122004,4513.6215337589565,-0.009745147687842515,-0.008897049208291596,-0.00832842490299246,-0.00769137257870911,-0.0070616714496597455,-0.006543908606513549,-0.0062046236830962664
Germany,2020-07-04,0.0,191966,288.0,1604.8783992036133,2055.4655688491316,2511.3631322297724,2968.6669072926475,3426.231366482018,3885.5783763664003,4350.2593803830605,-0.0859757437508073,-0.06964385385452077,-0.058722086439995325,-0.05076918437726685,-0.044699993221820944,-0.039952133260415024,-0.0361931438322981
Germany,2020-07-05,0.0,192107,141.0,1344.65879940271,1785.3724550793054,2233.802610191477,2685.5716348222695,3138.952445671766,3594.8474456590225,4056.2334423447546,-0.16214287632635083,-0.13140240238665402,-0.11052185901600653,-0.09536107664182303,-0.08384691227236762,-0.07482307717062575,-0.06758813954040954
Germany,2020-07-06,0.0,192431,324.0,1332.4940995520324,1752.2979640634444,2185.502175159564,2625.918544133374,3070.583389962795,3519.419951696909,3974.610098110279,-0.009046681474944473,-0.018525261169883955,-0.02162251705300533,-0.022212436978186756,-0.021780851061711126,-0.020982112621551363,-0.020122940504945896
Germany,2020-07-07,0.0,192818,387.0,1386.3705746640244,1788.8383712507557,2208.25181263297,2637.787323542892,3073.760466217446,3515.3732903972523,3964.149088299251,0.04043280576634789,0.02085285033521167,0.010409341034741892,0.0045198581791634496,0.0010346816390123248,-0.001149809160371884,-0.00263195874634381
Germany,2020-07-08,0.0,193265,447.0,1486.7779309980183,1878.0706970006047,2287.209843860808,2707.9605630367646,3136.540407940265,3571.7762581308907,4014.734179469326,0.07242461587755988,0.04988283300713059,0.035755900108916494,0.026603069499788523,0.020424474324792108,0.01604465957789203,0.012760642963551616
Germany,2020-07-09,0.0,193683,418.0,1533.0834482485138,1920.4565576004838,2324.0082032173405,2739.1090540315126,3162.472856947732,3592.9122294496806,4031.2607615223938,0.031144877984173647,0.022568831230673103,0.016088755238311103,0.01150256448336795,0.008267851082618849,0.005917495887564517,0.004116482266143917
Germany,2020-07-10,0.0,194103,420.0,1569.8125861863855,1956.3652460803871,2356.673502681117,2767.8077605984395,3187.1637498292657,3613.699759510827,4048.1346853701543,0.023957689961256357,0.018697995712420257,0.014055586989131452,0.010477387355091627,0.007807463968359407,0.005785704947301351,0.004185768385121413
Germany,2020-07-11,0.0,194377,274.0,1451.3594396397891,1839.0921968643097,2237.8945855675975,2646.4066519415196,3062.7682811006075,3486.177564009624,3917.321216833139,-0.07545687146919866,-0.05994435315748736,-0.050401091614255544,-0.04386182826175444,-0.03903014670498872,-0.035288541934226814,-0.032314505001469374
Germany,2020-07-12,0.0,194506,129.0,1217.5195797298418,1600.273757491448,1993.9121546396645,2397.348558807017,2808.9222459630314,3227.8245013418878,3654.589095149825,-0.1611178137705045,-0.12985669765770969,-0.10902320086987105,-0.0941117998444353,-0.08288124070762426,-0.07410783241074836,-0.06706933313365426
Germany,2020-07-13,0.0,194829,323.0,1236.1396847973813,1603.2190059931584,1984.5934621997205,2377.8701932631575,2780.8069652176523,3192.177334526122,3612.1301856348427,0.015293474846352018,0.0018404654128225673,-0.004673572212426813,-0.008124961834315991,-0.010009276969409231,-0.011043712816773743,-0.011617970833254887
Germany,2020-07-14,0.0,195292,463.0,1390.104763598036,1745.5752047945268,2116.8278851664336,2501.1744513684207,2896.2060945654457,3300.4909640232195,3713.9171670713586,0.12455313966066184,0.08879398152667362,0.06663048401869909,0.05185491556881505,0.04149843221453575,0.03393095625534115,0.02817921176853333
Germany,2020-07-15,0.0,195824,532.0,1574.578572698527,1928.4601638356216,2296.023237638695,2675.8638154586465,3066.180332744765,3465.7697457984173,3874.5254503642227,0.1327049686694215,0.10477059856187765,0.08465277395860271,0.06984293478395776,0.05868858521438303,0.05007702901683664,0.04324498260673737
Germany,2020-07-16,0.0,196369,545.0,1725.9339295238954,2087.7681310684975,2458.352698032246,2838.5975561074115,3227.9077911516697,3625.6842184874818,4032.0729053278005,0.09612435952686327,0.08260889709851171,0.07070026894000248,0.060815404621356706,0.05274557946894487,0.04614111277384492,0.04066238742831518
Germany,2020-07-17,0.0,196878,509.0,1803.4504471429216,2179.214504854798,2557.627248360205,2942.0836195206384,3333.419317257711,3731.8304164333167,4137.8656147950205,0.04491279549757121,0.04380102005843889,0.04038254982998257,0.036456757736076595,0.0326872800999054,0.029276183900570185,0.026237796773820765
Germany,2020-07-18,0.0,197307,429.0,1781.5878353571911,2172.3716038838384,2560.356040300171,2950.7859595891186,3345.7419026004973,3746.18259238517,4153.079053315519,-0.012122657331875009,-0.00314007682846984,0.0010669232358684333,0.0029578833214463085,0.003696680246313422,0.0038458810691539558,0.003676639102561108
Germany,2020-07-19,0.0,197484,177.0,1513.1908765178932,1914.8972831070707,2310.6300335834762,2706.2451082192447,3104.524164775435,3506.940082120151,3914.771147983967,-0.15065042178259314,-0.11852222719006567,-0.09753565628607552,-0.08287312421803883,-0.07209693540245121,-0.06386301371196512,-0.05738101834139275
Germany,2020-07-20,0.0,197935,451.0,1585.89315738842,1982.9178264856566,2376.5250279862303,2770.6386641879244,3167.458644178506,3568.28007299569,3974.2940331855702,0.04804567751414601,0.035521771313089534,0.02851819349918161,0.02379442858782732,0.020271860054155155,0.017491029056434515,0.015204690887807404
Germany,2020-07-21,0.0,198448,513.0,1702.4198680413149,2099.3342611885255,2493.437523321859,2887.8331407325068,3284.5263136561925,3684.804509329502,4089.8646298670133,0.07347702467219541,0.058709661665201196,0.04919472505395639,0.04229872269501889,0.0369594942282343,0.03265563071005961,0.029079528519133868
Germany,2020-07-22,0.0,199138,690.0,1966.8149010309862,2369.4674089508208,2767.8646027682157,3165.285549199292,3563.9605244491686,3965.381786070668,4370.878166880312,0.15530542021567562,0.12867562481896577,0.11005973756292642,0.09607632953350231,0.08507595437161286,0.07614441309729636,0.06870974040586675
Germany,2020-07-23,0.0,199824,686.0,2161.1111757732397,2581.5739271606567,2992.55383564018,3399.101899313679,3804.4654588930225,4210.783809840594,4619.790350192281,0.09878727003766596,0.08951653751749844,0.08117782663474449,0.07386895952358374,0.06748249112019145,0.061886102526611086,0.05694786580830935
Germany,2020-07-24,0.0,200611,787.0,2407.8333818299297,2852.2591417285253,3280.794863033483,3700.5159136974394,4115.907276531395,4529.918942080527,4944.811315173053,0.11416451352550783,0.1048527844660958,0.0963194125233311,0.0886746038548063,0.08186217512117766,0.07578995898438556,0.07035405079956591
Germany,2020-07-25,0.0,201146,535.0,2340.8750363724475,2816.80731338282,3268.9957191945696,3706.870783169234,4136.41886696497,4561.59461518269,4985.3301836557475,-0.0278085460409202,-0.012429385474498122,-0.0035964284057686813,0.0017172928369992846,0.004983491865944378,0.006992547440068497,0.008194219334186403
Germany,2020-07-26,0.0,201357,211.0,1966.6562772793357,2464.4458507062564,2935.163099328808,3388.317814145058,3830.366508594349,4265.750769051279,4697.797165290173,-0.15986276639227293,-0.1250924978085911,-0.10212084950298217,-0.08593581693501207,-0.07398969210175332,-0.06485535675325727,-0.05767582241758884
Germany,2020-07-27,0.0,201877,520.0,1994.9922079595017,2491.556680565005,2965.9692494406736,3424.2724121243355,3871.570695020055,4311.778461378915,4748.017448761156,0.014408176460487532,0.011000781311944596,0.010495549674534255,0.010611341660212492,0.010757243812897554,0.010790056620648025,0.010690177056182026
Germany,2020-07-28,0.0,202619,742.0,2238.2441559696263,2735.2453444520042,3213.6410412005616,3677.090638963716,4129.624358142548,4574.691965670147,5015.21570388504,0.12193127724489972,0.09780578775825344,0.08350450423806466,0.07383122497620986,0.06665348083516154,0.06097565230824742,0.05627575256565276
Germany,2020-07-29,0.0,203517,898.0,2576.6831169772195,3086.1962755616037,3576.0342010004683,4049.791976254614,4511.421313374729,4964.392858373463,5411.694133496536,0.15120734710953765,0.12830692932955556,0.11276715574447693,0.10135766938721225,0.09245319237798877,0.08518625857822748,0.07905511009314381
Germany,2020-07-30,0.0,204358,841.0,2773.5123377329146,3309.957020449283,3821.0285008337237,4312.250265361097,4788.493649202888,5253.793651887523,5711.524720146883,0.0763886018652542,0.07250373110082275,0.06851005501141838,0.06480784461161715,0.061415752726694084,0.05829530453576548,0.055404200469220566
Germany,2020-07-31,0.0,205262,904.0,2984.134253299686,3551.9656163594263,4088.1904173614366,4600.214513166655,5093.9319430525275,5574.038801677798,6044.372248132195,0.07594050067898195,0.07311532881393545,0.06991884945883542,0.06677818542181568,0.0637858826231259,0.06095503002391811,0.05827647507349876
