Country/Region,Date,Province/State,total_cases,new_cases,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-10-05,0.0,316428,4758.0,16437.754873184465,18827.146559144436,21084.93647990679,23233.145997523992,25287.66334800504,27260.373257137377,0.1258972505269873,0.11515568718626801,0.1069316475448272,0.10034328013201899,0.09489973581026878,0.09029992752616689
Germany,2020-10-06,0.0,321222,4794.0,17944.203898547574,20483.28879928703,22866.802697062965,25123.002747833492,27271.92297600448,29328.33593142364,0.09164566797504903,0.08796565294373826,0.08450896775782235,0.08134312720760706,0.07846749621316751,0.07585966100977082
Germany,2020-10-07,0.0,326134,4912.0,19267.36311883806,21981.407332739192,24512.11659748254,26894.627404354305,29153.709312003983,31307.502338281276,0.07373741558953117,0.07313857399229295,0.07195207490161715,0.07051802980332789,0.06900086721626542,0.06748307887243854
Germany,2020-10-08,0.0,331113,4979.0,20392.89049507045,23296.839443949328,25989.38565498504,28511.798978810017,30893.408277336872,33155.752104453146,0.05841626429575819,0.05984294323370842,0.06026689093238957,0.06012991182744143,0.059673331675039076,0.059035363032199584
Germany,2020-10-09,0.0,336492,5379.0,21693.31239605636,24793.032869957773,27655.616275701464,30326.824106458764,32839.80735763277,35219.17689400783,0.06376839523069378,0.06422302173684069,0.06411196643260486,0.06365873752819584,0.06300370172247272,0.06223429295327465
Germany,2020-10-10,0.0,341802,5310.0,22664.64991684509,25970.860724964812,29014.813950601256,31845.97109315142,34500.93987345135,37007.25920460705,0.044775896970225215,0.0475064047704401,0.049147256794056515,0.05009251814037197,0.0505828946475988,0.05077013344123449
Germany,2020-10-11,0.0,347301,5499.0,23630.719933476073,27141.383937470677,30368.840529086792,33364.22470650749,36166.50210973453,38805.533284146346,0.04262452851358489,0.045070636083334836,0.046666733096783375,0.04767490395928231,0.04827585110412702,0.04859246856399002
Germany,2020-10-12,0.0,354799,7498.0,26402.57594678086,30115.819947892232,33528.43473921725,36691.69661819405,39646.001875319576,42422.97995573171,0.11729883901582205,0.10959043272348135,0.1040406599357735,0.09973173184622386,0.09620780453215327,0.0932198675146989
Germany,2020-10-13,0.0,362654,7855.0,28977.06075742469,32951.51662324353,36593.658347900506,39960.234540919795,43095.89055583962,46035.68196015854,0.09750884973622154,0.09415970344681801,0.09142161369966817,0.08908113344382662,0.08701731618157615,0.085159081427016
Germany,2020-10-14,0.0,371091,8437.0,31618.648605939754,35896.59718603628,39802.99286962901,43402.20522330482,46744.45827185744,49869.11376414268,0.09116134554255018,0.08937617641293416,0.08770193160839379,0.0861348969025797,0.08466161550346296,0.08327088121126947
Germany,2020-10-15,0.0,379783,8692.0,33986.91888475181,38605.83098836357,42808.85103111058,46668.92957039172,50242.629574984385,53574.202387728415,0.07490105944525283,0.07547327643025659,0.07551839559720985,0.07526632184423732,0.07483606468989779,0.07429625962693165
Germany,2020-10-16,0.0,389342,9559.0,36748.53510780145,41730.52582363631,46252.30088380907,50394.31337409276,54219.115177763895,57775.78214895557,0.08125526860537624,0.08093841669188717,0.08043780129011235,0.07982578212088542,0.07914565054452072,0.07842542817192855
Germany,2020-10-17,0.0,398700,9358.0,38756.82808624116,44133.43818636359,49002.829328979205,53453.024202331166,57552.76904690124,61356.20393406002,0.05464960637338079,0.057581645936660264,0.05946792684065105,0.06069555518164593,0.06148484456464409,0.061970979049206454
Germany,2020-10-18,0.0,409157,10457.0,41462.46246899293,47234.865155303,52459.42513912504,57228.39617703977,61615.01693057887,65677.58354065401,0.06981052156103251,0.07027385801765362,0.07053869863187012,0.07062971704684129,0.07058301365773034,0.0704310131578254
Germany,2020-10-19,0.0,422983,13826.0,46995.96997519435,53188.387629419165,58791.221547821464,63900.8466549098,68594.90393829232,72935.82518658861,0.13345824576481835,0.12604084831282236,0.12069892858917508,0.11659335091670875,0.11328223792549852,0.1105132261975168
Germany,2020-10-20,0.0,437803,14820.0,52416.77598015548,59143.65635784931,65212.4756124184,70733.24082304607,75793.24794514873,80462.24266792975,0.11534618836088217,0.11196558109492694,0.10922130711935996,0.10692180973804533,0.1049399240114397,0.10319232643336274
Germany,2020-10-21,0.0,453197,15394.0,57327.420784124384,64680.38029820776,71290.40766778719,77285.58572016531,82765.77595124331,87810.01840113678,0.09368460215538699,0.09361484022662458,0.09320198318328177,0.09263459189592771,0.09199405217652856,0.09131954926401376
Germany,2020-10-22,0.0,468229,15032.0,60893.93662729951,68932.31691517314,76138.06371524617,82656.88750514465,88601.57862332738,94061.0165610231,0.0622130874613287,0.06573765641701401,0.06799871407734148,0.06949939933725391,0.07050985271402399,0.07118775594978577
Germany,2020-10-23,0.0,484082,15853.0,64568.149301839614,73296.59742931096,81114.19747021102,88177.77656700157,94609.95877629101,100507.91490492079,0.06033790682688278,0.06331254641430983,0.06535671531621046,0.06679284967648091,0.06781346615173867,0.06853953507631072
Germany,2020-10-24,0.0,499170,15088.0,66742.5194414717,76168.49785775914,84614.45497446659,92243.55449612637,99185.7411344809,105545.12341442872,0.033675584063397324,0.03918190651643694,0.04315221765636079,0.046108873317251664,0.048364700898025914,0.05011753068674296
Germany,2020-10-25,0.0,514824,15654.0,69048.01555317736,79127.74821479929,88180.67569239993,96367.11018411057,103819.10323064968,110644.61107298585,0.03454313878167903,0.038851368220053306,0.04214670790008035,0.04470291404650251,0.04671399379762309,0.0483157107935126
Germany,2020-10-26,0.0,534026,19202.0,74440.41244254188,85141.7901789994,94785.43630777138,103523.22141109675,111485.64731613304,118782.14996568726,0.07809633406787153,0.07600420964684185,0.07490031759805049,0.07425885463737925,0.07384521583133874,0.07354663560915364
Germany,2020-10-27,0.0,552443,18417.0,77969.32995403351,89368.49181583284,99661.65969237547,108999.81873470965,117515.35316989603,125320.93496911853,0.047405937120720276,0.049643090989129446,0.05144485877314353,0.05290211460735961,0.05408504142838155,0.05504854900605971
Germany,2020-10-28,0.0,570533,18090.0,80465.46396322682,92563.7431798607,103514.27973632184,113464.84139287095,122548.09170657424,130878.84147220668,0.03201430627485058,0.03575366775364763,0.0386569926272371,0.040963578747121865,0.04282622143340031,0.044349385874416836
Germany,2020-10-29,0.0,587344,16811.0,81183.37117058146,93947.45264988393,105537.52548827587,116092.73621876207,125742.63707251044,134601.957324986,0.008921929632851322,0.01494871990358626,0.019545571462292743,0.023160432726399005,0.026067687562080666,0.028447041637130965
Germany,2020-10-30,0.0,604591,17247.0,82193.69693646517,95536.54387490328,107707.7361328079,118828.14419141681,129018.23295334261,138388.7615924874,0.012444984130565606,0.0169146813478962,0.020563402775376938,0.023562266354892447,0.026050001472000872,0.028133352164845915
Germany,2020-10-31,0.0,620205,15614.0,81368.95754917215,95227.7865624194,107934.91668526392,119588.62616748971,130296.87373630454,140163.88543323864,-0.010034095289941036,-0.003231824179113829,0.002109231524241695,0.006399847285739391,0.009910543290608587,0.012827080901109955
Germany,2020-11-01,0.0,636860,16655.0,81750.16603933772,96011.48880201616,109170.64287308336,121295.0478965535,132474.44332115958,142802.4968899148,0.004684937618073981,0.008229764314463761,0.011448808465038152,0.014269097185495516,0.016712370162172974,0.0188251877330623
Germany,2020-11-02,0.0,657830,20970.0,86370.13283147018,100979.57400168014,114544.83674835716,127103.16690948431,138725.0607299196,149492.24720092333,0.056513240473534454,0.05174469494904499,0.04922746384778187,0.04788422209853338,0.047183571804914726,0.04684617185766449
Germany,2020-11-03,0.0,676851,19021.0,88117.10626517615,103170.64500140012,117202.288641449,130236.27104579877,142332.16509326186,153564.02248083102,0.020226591952970052,0.021698160458505367,0.023200101973430476,0.024650087110305252,0.02600182219681879,0.027237367530070333
Germany,2020-11-04,0.0,694871,18020.0,88513.68501214092,103995.53750116676,118479.10454981345,131976.73716507392,144537.48008289945,156227.62023274793,0.004500587499677078,0.007995418655717845,0.010894120952454678,0.013363912413179468,0.01549414349309286,0.017345193938569814
Germany,2020-11-05,0.0,711411,16540.0,87350.94800971274,103202.94791763897,118093.51818555439,132019.6450194397,145017.7600736884,157144.85820947314,-0.013136239918931203,-0.007621380710868486,-0.0032544672389631657,0.00032511679927416104,0.0033228750806606477,0.005871163980855076
Germany,2020-11-06,0.0,727533,16122.0,86002.75840777019,102124.45659803248,117345.01558761807,131639.18939200972,145026.67562105635,157552.37238852584,-0.015434172526583634,-0.010450198772104624,-0.006338219145611723,-0.0028818107136551196,6.1479003422793e-05,0.0025932390260550164
Germany,2020-11-07,0.0,742580,15047.0,83849.20672621616,100150.71383169373,115628.44193224407,130231.2907180085,143959.60055205008,156844.13514967327,-0.02504049546112541,-0.019326837391238305,-0.014628432633274291,-0.010695133269231993,-0.0073577847967394305,-0.0044952495993272334
Germany,2020-11-08,0.0,757722,15142.0,82221.36538097293,98600.92819307811,114252.09308478063,129094.37937825744,143106.08937960007,156301.72163470596,-0.019413914678506727,-0.015474534122842942,-0.01190320326438321,-0.008729939889890459,-0.005928824261646981,-0.003458296444745601
Germany,2020-11-09,0.0,776755,19033.0,84810.09230477834,101200.44016089843,116963.36550124055,131990.58195597527,146238.41278186673,159704.54947123537,0.03148484474577318,0.026363970557457872,0.02373061484701222,0.022434768978064623,0.021888121014598694,0.021770891586736285
Germany,2020-11-10,0.0,795184,18429.0,86277.07384382268,102762.70013408203,118683.31328677763,133920.75921147835,148418.7002505482,162163.09452411183,0.017297252003600105,0.015437284370500404,0.014705012788973182,0.01462359834239435,0.014909129736888183,0.015394333229807433
Germany,2020-11-11,0.0,813105,17921.0,86942.65907505815,103556.58344506836,119649.5542458094,135101.66431004356,149848.73355604283,163867.78507170067,0.007714508635750628,0.007725403380316909,0.00814133792083327,0.008817939097107486,0.009635128882550248,0.010512197936228818
Germany,2020-11-12,0.0,830751,17646.0,87200.12726004653,103943.1528708903,120202.76078212235,135859.9562712881,150844.87427203805,165127.0065645306,0.0029613562286621153,0.003732929505413818,0.004623557018661684,0.005612750702347791,0.0066476418742815735,0.007684374889664669
Germany,2020-11-13,0.0,849099,18348.0,88108.10180803723,104967.29405907526,121378.93781324774,137225.4617373771,152432.33268625604,166962.30590807754,0.010412536959756524,0.009852897087478718,0.009784941905430111,0.010050831043713293,0.010523780949660333,0.011114471107605883
Germany,2020-11-14,0.0,865412,16313.0,86799.48144642978,103785.74504922939,120352.08955421236,136385.27902020497,151808.40683222757,166579.0753172698,-0.014852440748962747,-0.011256353899919525,-0.008459855371409475,-0.006122644489840234,-0.004093133281064865,-0.0022953120389863635
Germany,2020-11-15,0.0,881894,16482.0,85921.58515714383,102970.12087435783,119640.93390361061,135819.11914267935,151422.80607309117,166403.1677855428,-0.010114072972057686,-0.007858730257075952,-0.00590895973003791,-0.0041511802563510836,-0.002540048783744586,-0.0010560001692406784
Germany,2020-11-16,0.0,902340,20446.0,89183.26812571507,106254.43406196486,122995.37191738053,139287.72924984444,155044.04984274769,170208.85100698852,0.037961159150007306,0.03189578840656582,0.028037544545351345,0.025538452384757937,0.023914784460595362,0.02287025705153889
Germany,2020-11-17,0.0,921769,19429.0,90775.61450057206,107974.36171830405,124853.6045006119,141305.7630936139,157245.9331935535,172616.96590628967,0.01785476590308832,0.016186878896142565,0.015108150447153301,0.014488238516328078,0.014201663030855238,0.01414800044212905
Germany,2020-11-18,0.0,940360,18591.0,91211.49160045765,108569.63476525337,125608.37528623878,142233.54270691215,158365.16283871423,173946.2693156607,0.004801698146398525,0.0055130962339220435,0.006045246259775983,0.006565759194715914,0.0071177016946000204,0.007700885034050975
Germany,2020-11-19,0.0,957620,17260.0,90229.19328036612,107734.69563771115,124924.32167391897,141714.34986854813,158029.03363441263,173811.64238409462,-0.010769457914298619,-0.007690355865592746,-0.005445923576043232,-0.00365028409250745,-0.0021224946085138807,-0.0007739569931319856
Germany,2020-11-20,0.0,974405,16785.0,88968.3546242929,106563.91303142597,123862.99000621626,140785.05613497962,157255.2521194779,173215.47814568516,-0.013973733004078337,-0.01086727538751564,-0.00849579692314062,-0.006557513296504669,-0.004896451602208862,-0.0034299442214120734
Germany,2020-11-21,0.0,988853,14448.0,85622.68369943432,103251.26085952164,120616.27714818537,137634.92411810718,154230.4463284248,170341.93033111666,-0.03760517926837148,-0.031086059789559473,-0.02621213049893234,-0.022375471540475145,-0.01923500646423526,-0.01658944018935582
Germany,2020-11-22,0.0,1003358,14505.0,83003.14695954746,100547.7173829347,117890.38041273033,134935.5586033438,151598.73006971093,167812.737298005,-0.03059395742701021,-0.026184120698198976,-0.022599741924600236,-0.01961250410867388,-0.017063532664035597,-0.014847741998668895
Germany,2020-11-23,0.0,1021829,18471.0,84873.51756763797,102260.76448577893,119519.897496626,136539.6137779258,153225.42672863192,169502.4635682045,0.02253373126927416,0.017037155565850393,0.013822307453676741,0.011887564635925996,0.010730278928939407,0.010069118097983498
Germany,2020-11-24,0.0,1039254,17425.0,85323.81405411038,102642.30373814912,119870.62642567944,136897.16205568507,153625.3793143395,169977.21721138404,0.005305500459711121,0.003731042441240895,0.002934481508096498,0.00261864134419465,0.002610223343779028,0.002800865740741898
Germany,2020-11-25,0.0,1056149,16895.0,85154.05124328831,102430.25311512427,119641.25122201095,136680.01679872442,153450.8927238573,169874.49549024564,-0.001989629890600142,-0.0020659183913662726,-0.0019135230248480406,-0.0015861925382523179,-0.0011357927398516487,-0.0006043264081130317
Germany,2020-11-26,0.0,1072161,16012.0,84135.24099463066,101370.54426260357,118561.64390458082,135607.01469888387,152412.7935323176,168899.0459412211,-0.011964319181325567,-0.010345662734325911,-0.009023704670446553,-0.007850468012603917,-0.006765025430043092,-0.005742177754285427
Germany,2020-11-27,0.0,1088573,16412.0,83720.19279570453,100887.45355216964,118036.26620392643,135068.13786152337,151890.03869539342,168421.14134709898,-0.004933107625526567,-0.004765592549078823,-0.00443126194401644,-0.003973812406069643,-0.0034298619217508763,-0.0028295280856022176
Germany,2020-11-28,0.0,1104065,15492.0,82468.15423656363,99564.87796014137,116665.94246050838,133676.62062883296,150505.36772923858,167071.02721238908,-0.01495503674001497,-0.013109415942829328,-0.01160934505544764,-0.01030233521185464,-0.009116272390526592,-0.0080162984522677
Germany,2020-11-29,0.0,1119408,15343.0,81317.5233892509,98313.73163345114,115342.37925186433,132310.04305022885,149125.54909265653,165706.92449115016,-0.013952426339167157,-0.012566141317333801,-0.01134489792590565,-0.010223011115747416,-0.00916790316119731,-0.008164807172130417
Germany,2020-11-30,0.0,1140120,20712.0,85766.01871140071,102640.10969454263,119576.896501598,136483.28766895024,153268.0436379169,169848.23204203515,0.05470524847216196,0.04400583712173356,0.03671258801144628,0.03154140473778777,0.02777857027494668,0.024991759177246387
